yourlist:M20171116F725F458AC8690F874DD868E4ED79B88D9A3DCC	isomap:M20171116F725F458AC8690F874DD868E4ED79B88D9A3DCC	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
253943		B4DPX9	B4DPX9_HUMAN	unreviewed	cDNA FLJ56221, highly similar to YTH domain protein 3		Homo sapiens (Human)	588
253943		Q658Z6	Q658Z6_HUMAN	unreviewed	Uncharacterized protein DKFZp451J085	DKFZp451J085	Homo sapiens (Human)	395
253943		Q7Z739	YTHD3_HUMAN	reviewed	YTH domain-containing family protein 3	YTHDF3	Homo sapiens (Human)	585
253943		Q8N3V9	Q8N3V9_HUMAN	unreviewed	Uncharacterized protein DKFZp451A052	DKFZp451A052	Homo sapiens (Human)	534
253943		Q8NA80	Q8NA80_HUMAN	unreviewed	cDNA FLJ35762 fis, clone TESTI2004793, moderately similar to Homo sapiens NY-REN-2 antigen mRNA		Homo sapiens (Human)	534
2547		A0A024R1N4	A0A024R1N4_HUMAN	unreviewed	X-ray repair complementing defective repair in Chinese hamster cells 6 (Ku autoantigen, 70kDa), isoform CRA_a	XRCC6 hCG_2013151	Homo sapiens (Human)	609
2547		B1AHC9	B1AHC9_HUMAN	unreviewed	X-ray repair cross-complementing protein 6	XRCC6	Homo sapiens (Human)	559
2547		B4DE32	B4DE32_HUMAN	unreviewed	cDNA FLJ53970, highly similar to ATP-dependent DNA helicase 2 subunit 1 (EC3.6.1.-)		Homo sapiens (Human)	559
2547		B4E356	B4E356_HUMAN	unreviewed	cDNA FLJ54993, highly similar to ATP-dependent DNA helicase 2 subunit 1 (EC 3.6.1.-)		Homo sapiens (Human)	476
2547		P12956	XRCC6_HUMAN	reviewed	X-ray repair cross-complementing protein 6 (EC 3.6.4.-) (EC 4.2.99.-) (5'-deoxyribose-5-phosphate lyase Ku70) (5'-dRP lyase Ku70) (70 kDa subunit of Ku antigen) (ATP-dependent DNA helicase 2 subunit 1) (ATP-dependent DNA helicase II 70 kDa subunit) (CTC box-binding factor 75 kDa subunit) (CTC75) (CTCBF) (DNA repair protein XRCC6) (Lupus Ku autoantigen protein p70) (Ku70) (Thyroid-lupus autoantigen) (TLAA) (X-ray repair complementing defective repair in Chinese hamster cells 6)	XRCC6 G22P1	Homo sapiens (Human)	609
25531		P63012	RAB3A_RAT	reviewed	Ras-related protein Rab-3A	Rab3a	Rattus norvegicus (Rat)	220
255626		Q96A08	H2B1A_HUMAN	reviewed	Histone H2B type 1-A (Histone H2B, testis) (TSH2B.1) (hTSH2B) (Testis-specific histone H2B)	HIST1H2BA TSH2B	Homo sapiens (Human)	127
25636		A1L1M0	A1L1M0_RAT	unreviewed	Protein kinase, cAMP-dependent, catalytic, alpha (cAMP-dependent protein kinase catalytic subunit alpha)	Prkaca rCG_51506	Rattus norvegicus (Rat)	351
256364		B4DL97	B4DL97_HUMAN	unreviewed	cDNA FLJ56458, highly similar to Homo sapiens echinoderm microtubule associated protein like 3 (EML3), mRNA		Homo sapiens (Human)	917
256364		B7WPE2	B7WPE2_HUMAN	unreviewed	Echinoderm microtubule associated protein like 3, isoform CRA_e (Echinoderm microtubule-associated protein-like 3)	EML3 hCG_20389	Homo sapiens (Human)	897
256364		Q32P44	EMAL3_HUMAN	reviewed	Echinoderm microtubule-associated protein-like 3 (EMAP-3)	EML3	Homo sapiens (Human)	896
257397		Q8N5C8	TAB3_HUMAN	reviewed	TGF-beta-activated kinase 1 and MAP3K7-binding protein 3 (Mitogen-activated protein kinase kinase kinase 7-interacting protein 3) (NF-kappa-B-activating protein 1) (TAK1-binding protein 3) (TAB-3) (TGF-beta-activated kinase 1-binding protein 3)	TAB3 MAP3K7IP3	Homo sapiens (Human)	712
257415		Q5BKY9	F133B_HUMAN	reviewed	Protein FAM133B	FAM133B	Homo sapiens (Human)	247
2580		B4DS37	B4DS37_HUMAN	unreviewed	cDNA FLJ58258, highly similar to Cyclin G-associated kinase (EC 2.7.11.1)		Homo sapiens (Human)	1213
2580		O14976	GAK_HUMAN	reviewed	Cyclin-G-associated kinase (EC 2.7.11.1)	GAK	Homo sapiens (Human)	1311
25814		Q9UBB4	ATX10_HUMAN	reviewed	Ataxin-10 (Brain protein E46 homolog) (Spinocerebellar ataxia type 10 protein)	ATXN10 SCA10	Homo sapiens (Human)	475
25822		O75953	DNJB5_HUMAN	reviewed	DnaJ homolog subfamily B member 5 (Heat shock protein Hsp40-2) (Heat shock protein Hsp40-3) (Heat shock protein cognate 40) (Hsc40)	DNAJB5 HSC40	Homo sapiens (Human)	348
25827		Q9UKC9	FBXL2_HUMAN	reviewed	F-box/LRR-repeat protein 2 (F-box and leucine-rich repeat protein 2) (F-box protein FBL2/FBL3)	FBXL2 FBL2 FBL3	Homo sapiens (Human)	423
25836		Q6KC79	NIPBL_HUMAN	reviewed	Nipped-B-like protein (Delangin) (SCC2 homolog)	NIPBL IDN3	Homo sapiens (Human)	2804
25842		Q9Y294	ASF1A_HUMAN	reviewed	Histone chaperone ASF1A (Anti-silencing function protein 1 homolog A) (hAsf1) (hAsf1a) (CCG1-interacting factor A) (CIA) (hCIA)	ASF1A CGI-98 HSPC146	Homo sapiens (Human)	204
25870		A0A024RDK8	A0A024RDK8_HUMAN	unreviewed	Sulfatase modifying factor 2, isoform CRA_f	SUMF2 hCG_1736510	Homo sapiens (Human)	213
25870		Q8NBJ7	SUMF2_HUMAN	reviewed	Sulfatase-modifying factor 2 (C-alpha-formylglycine-generating enzyme 2)	SUMF2 PSEC0171 UNQ1968/PRO4500	Homo sapiens (Human)	301
25909		Q8WYP5	ELYS_HUMAN	reviewed	Protein ELYS (Embryonic large molecule derived from yolk sac) (Protein MEL-28) (Putative AT-hook-containing transcription factor 1)	AHCTF1 ELYS TMBS62 MSTP108	Homo sapiens (Human)	2266
25923		B4DXC4	B4DXC4_HUMAN	unreviewed	cDNA FLJ58636, moderately similar to Atlastin		Homo sapiens (Human)	523
25923		F5H6I7	F5H6I7_HUMAN	unreviewed	Atlastin-3	ATL3	Homo sapiens (Human)	523
25923		Q6DD88	ATLA3_HUMAN	reviewed	Atlastin-3 (EC 3.6.5.-)	ATL3	Homo sapiens (Human)	541
25929		B7ZLC9	B7ZLC9_HUMAN	unreviewed	GEMIN5 protein	GEMIN5	Homo sapiens (Human)	1507
25929		Q58EZ8	Q58EZ8_HUMAN	unreviewed	GEMIN5 protein (Fragment)	GEMIN5	Homo sapiens (Human)	746
25929		Q8TEQ6	GEMI5_HUMAN	reviewed	Gem-associated protein 5 (Gemin5)	GEMIN5	Homo sapiens (Human)	1508
25930		B4DST5	B4DST5_HUMAN	unreviewed	cDNA FLJ58078, highly similar to Tyrosine-protein phosphatase non-receptortype 23 (EC 3.1.3.48)		Homo sapiens (Human)	1510
25930		Q9H3S7	PTN23_HUMAN	reviewed	Tyrosine-protein phosphatase non-receptor type 23 (EC 3.1.3.48) (His domain-containing protein tyrosine phosphatase) (HD-PTP) (Protein tyrosine phosphatase TD14) (PTP-TD14)	PTPN23 KIAA1471	Homo sapiens (Human)	1636
25939		Q59H15	Q59H15_HUMAN	unreviewed	SAM domain-and HD domain-containing protein 1 variant (Fragment)		Homo sapiens (Human)	336
25939		Q9Y3Z3	SAMH1_HUMAN	reviewed	Deoxynucleoside triphosphate triphosphohydrolase SAMHD1 (dNTPase) (EC 3.1.5.-) (Dendritic cell-derived IFNG-induced protein) (DCIP) (Monocyte protein 5) (MOP-5) (SAM domain and HD domain-containing protein 1)	SAMHD1 MOP5	Homo sapiens (Human)	626
25940		B4DT23	B4DT23_HUMAN	unreviewed	cDNA FLJ52744, highly similar to Protein FAM98A		Homo sapiens (Human)	323
25940		I6L9E8	I6L9E8_HUMAN	unreviewed	Family with sequence similarity 98, member A	FAM98A	Homo sapiens (Human)	518
25940		Q8NCA5	FA98A_HUMAN	reviewed	Protein FAM98A	FAM98A	Homo sapiens (Human)	519
25942		Q96ST3	SIN3A_HUMAN	reviewed	Paired amphipathic helix protein Sin3a (Histone deacetylase complex subunit Sin3a) (Transcriptional corepressor Sin3a)	SIN3A	Homo sapiens (Human)	1273
25962		Q69YN4	VIR_HUMAN	reviewed	Protein virilizer homolog	VIRMA KIAA1429 MSTP054	Homo sapiens (Human)	1812
2597		P04406	G3P_HUMAN	reviewed	Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-)	GAPDH GAPD CDABP0047 OK/SW-cl.12	Homo sapiens (Human)	335
2597		V9HVZ4	V9HVZ4_HUMAN	unreviewed	Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)	HEL-S-162eP	Homo sapiens (Human)	335
26031		Q9H4L5	OSBL3_HUMAN	reviewed	Oxysterol-binding protein-related protein 3 (ORP-3) (OSBP-related protein 3)	OSBPL3 KIAA0704 ORP3 OSBP3	Homo sapiens (Human)	887
26057		O75179	ANR17_HUMAN	reviewed	Ankyrin repeat domain-containing protein 17 (Gene trap ankyrin repeat protein) (Serologically defined breast cancer antigen NY-BR-16)	ANKRD17 GTAR KIAA0697	Homo sapiens (Human)	2603
26058		Q6Y7W6	GGYF2_HUMAN	reviewed	GRB10-interacting GYF protein 2 (PERQ amino acid-rich with GYF domain-containing protein 2) (Trinucleotide repeat-containing gene 15 protein)	GIGYF2 KIAA0642 PERQ2 TNRC15	Homo sapiens (Human)	1299
26073		B4DEM9	B4DEM9_HUMAN	unreviewed	Polymerase delta-interacting protein 2 (cDNA FLJ52257, highly similar to Polymerase delta-interacting protein 2)	POLDIP2	Homo sapiens (Human)	350
26073		Q9Y2S7	PDIP2_HUMAN	reviewed	Polymerase delta-interacting protein 2 (38 kDa DNA polymerase delta interaction protein) (p38)	POLDIP2 PDIP38 POLD4 HSPC017	Homo sapiens (Human)	368
26088		Q9UJY5	GGA1_HUMAN	reviewed	ADP-ribosylation factor-binding protein GGA1 (Gamma-adaptin-related protein 1) (Golgi-localized, gamma ear-containing, ARF-binding protein 1)	GGA1	Homo sapiens (Human)	639
26092		J3KN66	J3KN66_HUMAN	unreviewed	Torsin-1A-interacting protein 1	TOR1AIP1	Homo sapiens (Human)	599
26092		Q5JTV8	TOIP1_HUMAN	reviewed	Torsin-1A-interacting protein 1 (Lamin-associated protein 1B) (LAP1B)	TOR1AIP1 LAP1	Homo sapiens (Human)	583
26121		Q8WWY3	PRP31_HUMAN	reviewed	U4/U6 small nuclear ribonucleoprotein Prp31 (Pre-mRNA-processing factor 31) (Serologically defined breast cancer antigen NY-BR-99) (U4/U6 snRNP 61 kDa protein) (Protein 61K) (hPrp31)	PRPF31 PRP31	Homo sapiens (Human)	499
26135		Q5VU21	Q5VU21_HUMAN	unreviewed	PAI-1 mRNA-binding protein variant (cDNA, FLJ92551, Homo sapiens PAI-1 mRNA-binding protein (PAI-RBP1), mRNA)		Homo sapiens (Human)	387
26135		Q63HR1	Q63HR1_HUMAN	unreviewed	Uncharacterized protein DKFZp686P17171	DKFZp686P17171	Homo sapiens (Human)	387
26135		Q8NC51	PAIRB_HUMAN	reviewed	Plasminogen activator inhibitor 1 RNA-binding protein (PAI1 RNA-binding protein 1) (PAI-RBP1) (SERPINE1 mRNA-binding protein 1)	SERBP1 PAIRBP1 CGI-55	Homo sapiens (Human)	408
26156		O76021	RL1D1_HUMAN	reviewed	Ribosomal L1 domain-containing protein 1 (CATX-11) (Cellular senescence-inhibited gene protein) (Protein PBK1)	RSL1D1 CATX11 CSIG PBK1 L12	Homo sapiens (Human)	490
26168		Q9H4L4	SENP3_HUMAN	reviewed	Sentrin-specific protease 3 (EC 3.4.22.-) (SUMO-1-specific protease 3) (Sentrin/SUMO-specific protease SENP3)	SENP3 SSP3 SUSP3	Homo sapiens (Human)	574
26270		Q9NRD1	FBX6_HUMAN	reviewed	F-box only protein 6 (F-box protein that recognizes sugar chains 2) (F-box/G-domain protein 2)	FBXO6 FBG2 FBS2 FBX6	Homo sapiens (Human)	293
26273		Q49AF1	Q49AF1_HUMAN	unreviewed	F-box only protein 3 (FBXO3 protein) (cDNA, FLJ79185, highly similar to F-box only protein 3)	FBXO3	Homo sapiens (Human)	158
26273		Q9UK99	FBX3_HUMAN	reviewed	F-box only protein 3	FBXO3 FBX3	Homo sapiens (Human)	471
2631		O75323	NIPS2_HUMAN	reviewed	Protein NipSnap homolog 2 (NipSnap2) (Glioblastoma-amplified sequence)	NIPSNAP2 GBAS	Homo sapiens (Human)	286
26354		Q9BVP2	GNL3_HUMAN	reviewed	Guanine nucleotide-binding protein-like 3 (E2-induced gene 3 protein) (Novel nucleolar protein 47) (NNP47) (Nucleolar GTP-binding protein 3) (Nucleostemin)	GNL3 E2IG3 NS	Homo sapiens (Human)	549
26409		Q543B5	Q543B5_MOUSE	unreviewed	Mitogen activated protein kinase kinase kinase 7, isoform CRA_a	Map3k7 mCG_121930	Mus musculus (Mouse)	579
26409		Q62073	M3K7_MOUSE	reviewed	Mitogen-activated protein kinase kinase kinase 7 (EC 2.7.11.25) (Transforming growth factor-beta-activated kinase 1) (TGF-beta-activated kinase 1)	Map3k7 Tak1	Mus musculus (Mouse)	579
26409		Q923A8	Q923A8_MOUSE	unreviewed	Map3k7 protein (Mitogen activated protein kinase kinase kinase 7, isoform CRA_b) (Mitogen-activated protein kinase kinase kinase 7)	Map3k7 mCG_121930	Mus musculus (Mouse)	606
26413		P63085	MK01_MOUSE	reviewed	Mitogen-activated protein kinase 1 (MAP kinase 1) (MAPK 1) (EC 2.7.11.24) (ERT1) (Extracellular signal-regulated kinase 2) (ERK-2) (MAP kinase isoform p42) (p42-MAPK) (Mitogen-activated protein kinase 2) (MAP kinase 2) (MAPK 2)	Mapk1 Erk2 Mapk Prkm1	Mus musculus (Mouse)	358
26416		P47811	MK14_MOUSE	reviewed	Mitogen-activated protein kinase 14 (MAP kinase 14) (MAPK 14) (EC 2.7.11.24) (CRK1) (Mitogen-activated protein kinase p38 alpha) (MAP kinase p38 alpha)	Mapk14 Crk1 Csbp1 Csbp2	Mus musculus (Mouse)	360
26416		Q5U421	Q5U421_MOUSE	unreviewed	Mitogen-activated protein kinase (EC 2.7.11.24)	Mapk14 mCG_18525	Mus musculus (Mouse)	360
26419		A6P3E4	A6P3E4_MOUSE	unreviewed	Mitogen-activated protein kinase (EC 2.7.11.24)	Mapk8	Mus musculus (Mouse)	384
26419		G3X8U9	G3X8U9_MOUSE	unreviewed	Mitogen-activated protein kinase (EC 2.7.11.24)	Mapk8 mCG_4586	Mus musculus (Mouse)	427
26419		Q544A0	Q544A0_MOUSE	unreviewed	Mitogen-activated protein kinase (EC 2.7.11.24)	Mapk8 mCG_4586	Mus musculus (Mouse)	384
26419		Q7TSJ7	Q7TSJ7_MOUSE	unreviewed	Mitogen-activated protein kinase (EC 2.7.11.24)	Mapk8	Mus musculus (Mouse)	427
26419		Q91Y86	MK08_MOUSE	reviewed	Mitogen-activated protein kinase 8 (MAP kinase 8) (MAPK 8) (EC 2.7.11.24) (Stress-activated protein kinase JNK1) (c-Jun N-terminal kinase 1)	Mapk8 Jnk1 Prkm8	Mus musculus (Mouse)	384
2644		P30047	GFRP_HUMAN	reviewed	GTP cyclohydrolase 1 feedback regulatory protein (GFRP) (GTP cyclohydrolase I feedback regulatory protein) (p35)	GCHFR GFRP	Homo sapiens (Human)	84
2645		P35557	HXK4_HUMAN	reviewed	Glucokinase (EC 2.7.1.2) (Hexokinase type IV) (HK IV) (Hexokinase-4) (HK4) (Hexokinase-D)	GCK	Homo sapiens (Human)	465
2645		Q53Y25	Q53Y25_HUMAN	unreviewed	Phosphotransferase (EC 2.7.1.-)	GCK hCG_1745191 tcag7.801	Homo sapiens (Human)	465
2648		Q92830	KAT2A_HUMAN	reviewed	Histone acetyltransferase KAT2A (EC 2.3.1.48) (General control of amino acid synthesis protein 5-like 2) (Histone acetyltransferase GCN5) (HsGCN5) (Lysine acetyltransferase 2A) (STAF97)	KAT2A GCN5 GCN5L2 HGCN5	Homo sapiens (Human)	837
26517		Q9Y5L4	TIM13_HUMAN	reviewed	Mitochondrial import inner membrane translocase subunit Tim13	TIMM13 TIM13B TIMM13A TIMM13B	Homo sapiens (Human)	95
26521		G3XAN8	G3XAN8_HUMAN	unreviewed	Mitochondrial import inner membrane translocase subunit Tim8 B (Translocase of inner mitochondrial membrane 8 homolog B (Yeast))	TIMM8B hCG_39462	Homo sapiens (Human)	98
26521		Q9Y5J9	TIM8B_HUMAN	reviewed	Mitochondrial import inner membrane translocase subunit Tim8 B (DDP-like protein) (Deafness dystonia protein 2)	TIMM8B DDP2 DDPL TIM8B	Homo sapiens (Human)	83
26528		A0A0S2Z569	A0A0S2Z569_HUMAN	unreviewed	DAZ associated protein 1 isoform 1 (DAZ associated protein 1, isoform CRA_a) (Testicular tissue protein Li 50) (Fragment)	DAZAP1 hCG_21583	Homo sapiens (Human)	407
26528		K7EK33	K7EK33_HUMAN	unreviewed	DAZ-associated protein 1	DAZAP1	Homo sapiens (Human)	406
26528		K7EQ55	K7EQ55_HUMAN	unreviewed	DAZ-associated protein 1	DAZAP1	Homo sapiens (Human)	406
26528		Q96EP5	DAZP1_HUMAN	reviewed	DAZ-associated protein 1 (Deleted in azoospermia-associated protein 1)	DAZAP1	Homo sapiens (Human)	407
26574		Q9NY61	AATF_HUMAN	reviewed	Protein AATF (Apoptosis-antagonizing transcription factor) (Rb-binding protein Che-1)	AATF CHE1 DED HSPC277	Homo sapiens (Human)	560
266601		Q62760	TOM20_RAT	reviewed	Mitochondrial import receptor subunit TOM20 homolog (Mitochondrial 20 kDa outer membrane protein) (Outer mitochondrial membrane receptor Tom20)	Tomm20	Rattus norvegicus (Rat)	145
26754		O35864	CSN5_MOUSE	reviewed	COP9 signalosome complex subunit 5 (SGN5) (Signalosome subunit 5) (EC 3.4.-.-) (Jun activation domain-binding protein 1) (Kip1 C-terminus-interacting protein 2)	Cops5 Csn5 Jab1 Kic2	Mus musculus (Mouse)	334
26953		A0A096LNS2	A0A096LNS2_HUMAN	unreviewed	Ran-binding protein 6	RANBP6	Homo sapiens (Human)	68
26953		B4DTX6	B4DTX6_HUMAN	unreviewed	cDNA FLJ54311, highly similar to Ran-binding protein 6		Homo sapiens (Human)	693
26953		O60518	RNBP6_HUMAN	reviewed	Ran-binding protein 6 (RanBP6)	RANBP6	Homo sapiens (Human)	1105
26985		A0A024QZR5	A0A024QZR5_HUMAN	unreviewed	Adaptor-related protein complex 3, mu 1 subunit, isoform CRA_a	AP3M1 hCG_1812063	Homo sapiens (Human)	418
26985		B4DRN6	B4DRN6_HUMAN	unreviewed	cDNA FLJ51284, highly similar to Adapter-relatedprotein complex 3 mu-1 subunit		Homo sapiens (Human)	364
26985		Q9Y2T2	AP3M1_HUMAN	reviewed	AP-3 complex subunit mu-1 (AP-3 adaptor complex mu3A subunit) (Adaptor-related protein complex 3 subunit mu-1) (Mu-adaptin 3A) (Mu3A-adaptin)	AP3M1	Homo sapiens (Human)	418
26986		A0A024R9C1	A0A024R9C1_HUMAN	unreviewed	Polyadenylate-binding protein (PABP)	PABPC1 hCG_15683	Homo sapiens (Human)	636
26986		P11940	PABP1_HUMAN	reviewed	Polyadenylate-binding protein 1 (PABP-1) (Poly(A)-binding protein 1)	PABPC1 PAB1 PABP1 PABPC2	Homo sapiens (Human)	636
26993		Q9ULX6	AKP8L_HUMAN	reviewed	A-kinase anchor protein 8-like (AKAP8-like protein) (Helicase A-binding protein 95) (HAP95) (Homologous to AKAP95 protein) (HA95) (Neighbor of A-kinase-anchoring protein 95) (Neighbor of AKAP95)	AKAP8L NAKAP NAKAP95 HRIHFB2018	Homo sapiens (Human)	646
269966		A0A140T8J8	A0A140T8J8_MOUSE	unreviewed	Nuclear pore complex protein Nup98-Nup96	Nup98	Mus musculus (Mouse)	1187
269966		A0A1B0GRA7	A0A1B0GRA7_MOUSE	unreviewed	Nuclear pore complex protein Nup98-Nup96	Nup98	Mus musculus (Mouse)	984
269966		A0A1B0GRB5	A0A1B0GRB5_MOUSE	unreviewed	Nuclear pore complex protein Nup98-Nup96	Nup98	Mus musculus (Mouse)	967
269966		A0A1B0GSX7	A0A1B0GSX7_MOUSE	unreviewed	Nuclear pore complex protein Nup98-Nup96	Nup98	Mus musculus (Mouse)	1816
269966		B2RQL0	B2RQL0_MOUSE	unreviewed	Nuclear pore complex protein Nup98-Nup96 (Nup98 protein)	Nup98	Mus musculus (Mouse)	1170
269966		Q3TPG3	Q3TPG3_MOUSE	unreviewed	Uncharacterized protein	Nup98	Mus musculus (Mouse)	861
269966		Q3UJE5	Q3UJE5_MOUSE	unreviewed	Uncharacterized protein	Nup98	Mus musculus (Mouse)	984
269966		Q4FZE7	Q4FZE7_MOUSE	unreviewed	Nup98 protein (Fragment)	Nup98	Mus musculus (Mouse)	298
269966		Q6PFD9	NUP98_MOUSE	reviewed	Nuclear pore complex protein Nup98-Nup96 (EC 3.4.21.-) [Cleaved into: Nuclear pore complex protein Nup98 (98 kDa nucleoporin) (Nucleoporin Nup98) (Nup98); Nuclear pore complex protein Nup96 (96 kDa nucleoporin) (Nucleoporin Nup96) (Nup96)]	Nup98	Mus musculus (Mouse)	1816
27040		A0A024QZD6	A0A024QZD6_HUMAN	unreviewed	Linker for activation of T cells, isoform CRA_f	LAT hCG_2039637	Homo sapiens (Human)	262
27040		O43561	LAT_HUMAN	reviewed	Linker for activation of T-cells family member 1 (36 kDa phospho-tyrosine adapter protein) (pp36) (p36-38)	LAT	Homo sapiens (Human)	262
27044		A0A140VK49	A0A140VK49_HUMAN	unreviewed	Staphylococcal nuclease domain containing 1, isoform CRA_b (Testis tissue sperm-binding protein Li 82P)	SND1 hCG_32326	Homo sapiens (Human)	910
27044		Q7KZF4	SND1_HUMAN	reviewed	Staphylococcal nuclease domain-containing protein 1 (100 kDa coactivator) (EBNA2 coactivator p100) (Tudor domain-containing protein 11) (p100 co-activator)	SND1 TDRD11	Homo sapiens (Human)	910
27067		A0A0A0MTC4	A0A0A0MTC4_HUMAN	unreviewed	Double-stranded RNA-binding protein Staufen homolog 2	STAU2	Homo sapiens (Human)	398
27067		A0A0A0MTC5	A0A0A0MTC5_HUMAN	unreviewed	Double-stranded RNA-binding protein Staufen homolog 2	STAU2	Homo sapiens (Human)	570
27067		A0A0A0MTC6	A0A0A0MTC6_HUMAN	unreviewed	Double-stranded RNA-binding protein Staufen homolog 2	STAU2	Homo sapiens (Human)	504
27067		A0A0A0MTD1	A0A0A0MTD1_HUMAN	unreviewed	Double-stranded RNA-binding protein Staufen homolog 2	STAU2	Homo sapiens (Human)	473
27067		A8K276	A8K276_HUMAN	unreviewed	cDNA FLJ78317, highly similar to Homo sapiens staufen, RNA binding protein, homolog 2 (Drosophila) (STAU2), mRNA		Homo sapiens (Human)	479
27067		E9PH62	E9PH62_HUMAN	unreviewed	Double-stranded RNA-binding protein Staufen homolog 2	STAU2	Homo sapiens (Human)	538
27067		F8VPI7	F8VPI7_HUMAN	unreviewed	Double-stranded RNA-binding protein Staufen homolog 2	STAU2	Homo sapiens (Human)	479
27067		Q4LE57	Q4LE57_HUMAN	unreviewed	STAU2 variant protein (Fragment)	STAU2 variant protein	Homo sapiens (Human)	490
27067		Q9NUL3	STAU2_HUMAN	reviewed	Double-stranded RNA-binding protein Staufen homolog 2	STAU2	Homo sapiens (Human)	570
27097		O75529	TAF5L_HUMAN	reviewed	TAF5-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 5L (PCAF-associated factor 65 beta) (PAF65-beta)	TAF5L PAF65B	Homo sapiens (Human)	589
27125		Q9UHB7	AFF4_HUMAN	reviewed	AF4/FMR2 family member 4 (ALL1-fused gene from chromosome 5q31 protein) (Protein AF-5q31) (Major CDK9 elongation factor-associated protein)	AFF4 AF5Q31 MCEF HSPC092	Homo sapiens (Human)	1163
27161		Q9UKV8	AGO2_HUMAN	reviewed	Protein argonaute-2 (Argonaute2) (hAgo2) (EC 3.1.26.n2) (Argonaute RISC catalytic component 2) (Eukaryotic translation initiation factor 2C 2) (eIF-2C 2) (eIF2C 2) (PAZ Piwi domain protein) (PPD) (Protein slicer)	AGO2 EIF2C2	Homo sapiens (Human)	859
27183		A0A024R705	A0A024R705_HUMAN	unreviewed	Vacuolar protein sorting 4A (Yeast), isoform CRA_c	VPS4A hCG_28199	Homo sapiens (Human)	437
27183		Q9UN37	VPS4A_HUMAN	reviewed	Vacuolar protein sorting-associated protein 4A (EC 3.6.4.6) (Protein SKD2) (VPS4-1) (hVPS4)	VPS4A VPS4	Homo sapiens (Human)	437
27190		Q9UHF5	IL17B_HUMAN	reviewed	Interleukin-17B (IL-17B) (Cytokine Zcyto7) (Interleukin-20) (IL-20) (Neuronal interleukin-17-related factor)	IL17B IL20 NIRF ZCYTO7 UNQ516/PRO1031	Homo sapiens (Human)	180
27246		Q9Y4L5	RN115_HUMAN	reviewed	E3 ubiquitin-protein ligase RNF115 (EC 2.3.2.27) (RING finger protein 115) (RING-type E3 ubiquitin transferase RNF115) (Rabring 7) (Zinc finger protein 364)	RNF115 ZNF364	Homo sapiens (Human)	304
27247		Q9UMS0	NFU1_HUMAN	reviewed	NFU1 iron-sulfur cluster scaffold homolog, mitochondrial (HIRA-interacting protein 5)	NFU1 HIRIP5 CGI-33	Homo sapiens (Human)	254
27248		Q96DZ1	ERLEC_HUMAN	reviewed	Endoplasmic reticulum lectin 1 (ER lectin) (Erlectin) (XTP3-transactivated gene B protein)	ERLEC1 C2orf30 XTP3TPB UNQ1878/PRO4321	Homo sapiens (Human)	483
27248		V9HWD3	V9HWD3_HUMAN	unreviewed	Epididymis luminal protein 117	HEL117	Homo sapiens (Human)	483
27292		A0A0C4DGB1	A0A0C4DGB1_HUMAN	unreviewed	rRNA adenine N(6)-methyltransferase (EC 2.1.1.-)	DIMT1	Homo sapiens (Human)	275
27292		A8K9K8	A8K9K8_HUMAN	unreviewed	rRNA adenine N(6)-methyltransferase (EC 2.1.1.-)		Homo sapiens (Human)	313
27292		Q9UNQ2	DIM1_HUMAN	reviewed	Probable dimethyladenosine transferase (EC 2.1.1.183) (DIM1 dimethyladenosine transferase 1 homolog) (DIM1 dimethyladenosine transferase 1-like) (Probable 18S rRNA (adenine(1779)-N(6)/adenine(1780)-N(6))-dimethyltransferase) (Probable 18S rRNA dimethylase) (Probable S-adenosylmethionine-6-N',N'-adenosyl(rRNA) dimethyltransferase)	DIMT1 DIMT1L HUSSY-05	Homo sapiens (Human)	313
273		P49418	AMPH_HUMAN	reviewed	Amphiphysin	AMPH AMPH1	Homo sapiens (Human)	695
27332		A8K583	A8K583_HUMAN	unreviewed	cDNA FLJ77126, highly similar to Homo sapiens zinc finger protein 638 (ZNF638), transcript variant 1, mRNA (Fragment)		Homo sapiens (Human)	1578
27332		Q14966	ZN638_HUMAN	reviewed	Zinc finger protein 638 (Cutaneous T-cell lymphoma-associated antigen se33-1) (CTCL-associated antigen se33-1) (Nuclear protein 220) (Zinc finger matrin-like protein)	ZNF638 NP220 ZFML	Homo sapiens (Human)	1978
27335		K7EK53	K7EK53_HUMAN	unreviewed	Eukaryotic translation initiation factor 3 subunit K	EIF3K	Homo sapiens (Human)	131
27335		K7ERF1	K7ERF1_HUMAN	unreviewed	Eukaryotic translation initiation factor 3 subunit K (eIF3k) (Eukaryotic translation initiation factor 3 subunit 12) (eIF-3 p25)	EIF3K EIF3S12 hCG_2040051	Homo sapiens (Human)	192
27335		Q9UBQ5	EIF3K_HUMAN	reviewed	Eukaryotic translation initiation factor 3 subunit K (eIF3k) (Eukaryotic translation initiation factor 3 subunit 12) (Muscle-specific gene M9 protein) (PLAC-24) (eIF-3 p25) (eIF-3 p28)	EIF3K EIF3S12 ARG134 HSPC029 MSTP001 PTD001	Homo sapiens (Human)	218
